id_vendas,data,produto,quantidade,modo_pagamento
84,07-06-2024 10:51:00,Café Filtrado 150 ml,4,credito
85,29-04-2024 13:35:00,Pão Francês,1,pix
86,16-03-2024 15:13:00,Suco,3,credito
87,04-04-2024 13:55:00,Salgado,4,credito
88,08-06-2024 11:47:00,Café Pingado 150 ml,5,credito
89,20-06-2024 15:39:00,Pão de Queijo,4,debito
90,15-02-2024 16:21:00,Pão na Chapa,3,pix
91,27-03-2024 10:48:00,Baguete,2,credito
92,18-02-2024 16:30:00,Pão Integral,3,pix
93,09-05-2024 15:21:00,Rosquinha,1,credito
94,16-01-2024 11:04:00,Croissant,5,pix
95,17-03-2024 14:45:00,Pão na Chapa,4,credito
96,23-04-2024 14:01:00,Pão Integral,4,pix
97,09-01-2024 08:16:00,Suco,5,credito
98,08-05-2024 12:03:00,Croissant,3,credito
99,16-01-2024 15:58:00,Rosquinha,5,debito
100,29-04-2024 10:23:00,Pão na Chapa,3,credito
101,04-03-2024 15:23:00,Baguete,5,credito
102,27-01-2024 10:19:00,Bolo Mole,2,credito
103,02-06-2024 09:48:00,Pão de Queijo,3,credito
104,18-04-2024 09:46:00,Café Espresso 50 ml,4,pix
105,05-02-2024 10:56:00,Suco,2,debito
106,23-04-2024 11:09:00,Pão Francês,5,debito
107,31-05-2024 15:42:00,Pão Francês,3,credito
108,03-04-2024 11:27:00,Rosquinha,2,debito
109,11-03-2024 11:14:00,Salgado,2,debito
110,04-05-2024 14:11:00,Torta de Frango,5,pix
111,15-01-2024 16:45:00,Pão de Mel,4,pix
112,05-04-2024 11:50:00,Croissant,2,credito
113,11-03-2024 10:11:00,Baguete,3,pix
114,07-03-2024 11:21:00,Pão Francês,3,credito
115,21-05-2024 14:46:00,Pão Integral,2,debito
116,23-01-2024 12:14:00,Salgado,2,pix
117,05-02-2024 11:42:00,Croissant,4,credito
118,01-04-2024 09:47:00,Croissant,2,pix
119,18-05-2024 11:50:00,Café Filtrado 150 ml,5,debito
120,22-03-2024 08:35:00,Café Filtrado 150 ml,5,debito
121,22-05-2024 09:25:00,Croissant,3,debito
122,03-04-2024 08:51:00,Café Espresso 50 ml,3,debito
123,16-03-2024 14:14:00,Pão de Mel,3,pix
124,21-01-2024 13:14:00,Pão de Queijo,3,pix
125,18-02-2024 14:05:00,Rosquinha,4,pix
126,27-04-2024 12:22:00,Salgado,5,pix
127,15-05-2024 10:44:00,Café Pingado 150 ml,4,credito
128,08-02-2024 14:21:00,Café Filtrado 150 ml,5,pix
129,09-03-2024 10:02:00,Croissant,3,credito
130,13-03-2024 10:24:00,Pão Integral,2,debito
131,19-02-2024 12:37:00,Salgado,3,credito
132,06-03-2024 15:38:00,Bolo Mole,1,debito
133,24-01-2024 16:54:00,Bolo Mole,3,credito
134,22-01-2024 11:32:00,Baguete,3,debito
135,06-05-2024 15:33:00,Suco,1,pix
136,11-01-2024 15:15:00,Pão de Queijo,5,pix
137,09-05-2024 13:36:00,Baguete,1,debito
138,10-04-2024 12:23:00,Bolo Mole,2,pix
139,15-05-2024 09:21:00,Café Filtrado 150 ml,5,pix
140,08-04-2024 16:09:00,Pão de Queijo,5,debito
141,26-05-2024 08:18:00,Pão Integral,4,pix
142,19-06-2024 14:57:00,Torta de Frango,1,credito
143,11-01-2024 16:39:00,Pão de Queijo,2,debito
144,23-06-2024 09:30:00,Rosquinha,5,pix
145,02-04-2024 10:34:00,Café Filtrado 150 ml,4,credito
146,08-06-2024 13:34:00,Café Espresso 50 ml,2,credito
147,07-05-2024 12:23:00,Pão de Mel,4,credito
148,25-05-2024 09:18:00,Torta de Frango,5,pix
149,10-02-2024 16:12:00,Croissant,3,pix
150,23-03-2024 15:11:00,Pão na Chapa,4,credito
151,02-03-2024 14:12:00,Pão Integral,1,credito
152,04-02-2024 08:42:00,Café Filtrado 150 ml,3,pix
153,04-03-2024 09:36:00,Pão Integral,2,pix
154,11-04-2024 14:08:00,Croissant,5,debito
155,01-04-2024 16:41:00,Rosquinha,4,debito
156,08-05-2024 11:17:00,Bolo Mole,4,pix
157,29-01-2024 15:55:00,Pão de Mel,4,debito
158,17-03-2024 13:19:00,Baguete,1,debito
159,04-05-2024 12:50:00,Café Espresso 50 ml,1,debito
160,04-06-2024 13:43:00,Café Espresso 50 ml,3,debito
161,12-06-2024 16:23:00,Bolo de Chocolate,3,pix
162,06-03-2024 12:09:00,Pão na Chapa,1,debito
163,22-03-2024 08:57:00,Torta de Frango,4,credito
164,02-05-2024 11:45:00,Pão na Chapa,5,pix
165,20-05-2024 08:48:00,Rosquinha,5,credito
166,18-02-2024 13:52:00,Rosquinha,4,debito
167,05-05-2024 09:01:00,Bolo Mole,2,pix
168,15-02-2024 15:46:00,Café Pingado 150 ml,3,debito
169,15-04-2024 16:30:00,Bolo de Chocolate,2,debito
170,01-03-2024 10:59:00,Croissant,3,debito
171,16-03-2024 11:30:00,Pão Integral,5,credito
172,14-03-2024 11:36:00,Salgado,1,credito
173,10-01-2024 14:49:00,Bolo Mole,1,debito
174,23-03-2024 09:54:00,Pão Francês,2,debito
175,10-03-2024 12:15:00,Suco,1,pix
176,01-06-2024 11:41:00,Torta de Frango,3,debito
177,06-05-2024 14:41:00,Café Pingado 150 ml,1,credito
178,19-03-2024 11:20:00,Bolo de Chocolate,2,credito
179,19-04-2024 10:21:00,Pão na Chapa,1,credito
180,09-05-2024 12:19:00,Croissant,4,credito
181,25-03-2024 15:51:00,Pão de Queijo,2,debito
182,12-05-2024 14:21:00,Pão Francês,3,credito
183,11-05-2024 15:27:00,Croissant,5,pix
184,18-01-2024 14:38:00,Suco,2,credito
185,08-06-2024 11:47:00,Suco,2,pix
186,26-02-2024 10:44:00,Croissant,1,debito
187,19-03-2024 14:57:00,Pão na Chapa,3,credito
188,26-02-2024 10:22:00,Pão de Queijo,1,debito
189,16-06-2024 09:31:00,Café Pingado 150 ml,3,credito
190,02-04-2024 11:54:00,Bolo Mole,3,credito
191,11-05-2024 10:41:00,Bolo Mole,3,debito
192,18-03-2024 11:29:00,Baguete,1,debito
193,03-04-2024 14:59:00,Café Espresso 50 ml,2,credito
194,22-06-2024 16:03:00,Suco,5,debito
195,03-04-2024 12:11:00,Café Pingado 150 ml,4,credito
196,01-06-2024 10:45:00,Bolo Mole,5,pix
197,01-04-2024 10:31:00,Café Pingado 150 ml,1,pix
198,28-04-2024 15:34:00,Baguete,4,credito
199,11-03-2024 10:49:00,Bolo Mole,1,pix
200,20-04-2024 14:06:00,Croissant,5,debito
201,19-06-2024 14:53:00,Baguete,1,pix
202,21-02-2024 15:38:00,Croissant,2,pix
203,09-04-2024 11:31:00,Pão de Mel,3,credito
204,26-04-2024 16:11:00,Pão na Chapa,5,debito
205,23-05-2024 15:23:00,Torta de Frango,1,pix
206,23-06-2024 10:18:00,Café Filtrado 150 ml,5,debito
207,02-06-2024 16:57:00,Café Espresso 50 ml,3,pix
208,29-05-2024 08:35:00,Suco,2,debito
209,05-05-2024 12:26:00,Bolo de Chocolate,1,debito
210,14-04-2024 11:00:00,Café Espresso 50 ml,2,pix
211,12-02-2024 09:52:00,Pão de Queijo,4,debito
212,10-01-2024 13:49:00,Croissant,4,pix
213,11-02-2024 16:01:00,Pão de Mel,5,debito
214,04-03-2024 08:56:00,Bolo Mole,4,debito
215,27-02-2024 09:33:00,Pão Integral,4,credito
216,02-06-2024 12:17:00,Baguete,5,pix
217,10-01-2024 12:38:00,Baguete,4,pix
218,07-03-2024 09:41:00,Pão Integral,2,pix
219,16-02-2024 11:59:00,Croissant,3,credito
220,11-05-2024 16:49:00,Pão de Queijo,2,pix
221,08-01-2024 15:22:00,Café Filtrado 150 ml,2,debito
222,21-05-2024 12:38:00,Suco,2,credito
223,26-03-2024 10:29:00,Torta de Frango,1,debito
224,10-06-2024 11:30:00,Croissant,3,pix
225,18-03-2024 10:55:00,Salgado,5,pix
226,05-02-2024 15:41:00,Pão de Mel,3,debito
227,10-06-2024 13:41:00,Bolo de Chocolate,3,pix
228,17-02-2024 12:37:00,Suco,5,debito
229,11-06-2024 10:00:00,Pão de Queijo,2,credito
230,23-01-2024 12:39:00,Café Pingado 150 ml,4,credito
231,28-02-2024 09:15:00,Pão Integral,5,credito
232,17-04-2024 15:56:00,Salgado,3,pix
233,18-06-2024 15:58:00,Baguete,2,pix
234,03-04-2024 16:13:00,Pão Integral,5,pix
235,06-06-2024 14:22:00,Café Espresso 50 ml,5,pix
236,24-04-2024 09:00:00,Croissant,4,pix
237,30-01-2024 15:51:00,Pão Francês,2,pix
238,06-03-2024 10:26:00,Café Espresso 50 ml,3,credito
239,21-04-2024 13:08:00,Café Espresso 50 ml,5,pix
240,17-05-2024 12:30:00,Torta de Frango,2,credito
241,13-01-2024 15:57:00,Salgado,1,credito
242,21-01-2024 11:51:00,Baguete,3,pix
243,26-05-2024 14:00:00,Suco,2,pix
244,08-06-2024 15:40:00,Café Pingado 150 ml,4,debito
245,25-02-2024 09:43:00,Torta de Frango,1,pix
246,30-04-2024 08:32:00,Salgado,1,pix
247,11-03-2024 09:06:00,Pão Integral,3,debito
248,11-03-2024 13:32:00,Suco,4,debito
249,10-04-2024 15:02:00,Pão de Queijo,2,credito
250,30-05-2024 11:13:00,Torta de Frango,3,debito
251,18-06-2024 08:06:00,Rosquinha,2,debito
252,11-06-2024 10:46:00,Café Filtrado 150 ml,2,debito
253,28-01-2024 15:46:00,Bolo Mole,2,credito
254,12-01-2024 08:13:00,Pão Integral,3,debito
255,17-02-2024 15:14:00,Café Espresso 50 ml,5,credito
256,12-02-2024 14:19:00,Café Espresso 50 ml,3,pix
257,27-01-2024 08:15:00,Café Filtrado 150 ml,5,debito
258,11-04-2024 11:55:00,Pão de Mel,4,pix
259,01-05-2024 12:23:00,Pão de Queijo,4,pix
260,17-01-2024 16:28:00,Café Filtrado 150 ml,1,pix
261,17-02-2024 15:36:00,Café Filtrado 150 ml,4,pix
262,26-02-2024 16:29:00,Bolo Mole,5,pix
263,05-04-2024 11:09:00,Pão Francês,2,debito
264,19-04-2024 14:24:00,Pão na Chapa,3,pix
265,20-01-2024 13:05:00,Bolo de Chocolate,1,pix
266,11-04-2024 08:01:00,Croissant,2,debito
267,28-01-2024 12:03:00,Pão de Queijo,2,pix
268,09-06-2024 16:25:00,Café Espresso 50 ml,5,debito
269,14-01-2024 08:37:00,Pão Integral,5,debito
270,04-05-2024 13:42:00,Rosquinha,3,credito
271,30-01-2024 14:02:00,Baguete,1,pix
272,20-02-2024 15:52:00,Café Pingado 150 ml,2,credito
273,11-06-2024 16:45:00,Pão de Mel,5,debito
274,13-04-2024 08:31:00,Pão de Mel,4,credito
275,29-05-2024 10:48:00,Baguete,3,pix
276,07-02-2024 14:55:00,Pão na Chapa,5,debito
277,23-02-2024 08:26:00,Pão Integral,1,pix
278,07-02-2024 08:10:00,Pão de Mel,1,pix
279,22-03-2024 15:34:00,Salgado,5,debito
280,02-06-2024 16:56:00,Rosquinha,2,pix
281,23-04-2024 10:31:00,Bolo de Chocolate,3,credito
282,19-05-2024 13:38:00,Croissant,4,debito
283,29-03-2024 12:49:00,Café Espresso 50 ml,1,pix
284,21-04-2024 14:10:00,Pão de Mel,4,credito
285,27-01-2024 16:46:00,Bolo Mole,2,debito
286,27-03-2024 09:57:00,Café Espresso 50 ml,2,debito
287,24-01-2024 08:07:00,Bolo de Chocolate,1,pix
288,15-06-2024 12:53:00,Pão de Mel,5,credito
289,19-04-2024 13:13:00,Pão de Queijo,5,pix
290,25-05-2024 12:54:00,Pão Integral,2,pix
291,26-02-2024 08:52:00,Pão na Chapa,2,credito
292,23-03-2024 14:35:00,Salgado,3,pix
293,09-05-2024 15:38:00,Bolo de Chocolate,4,debito
294,09-03-2024 09:18:00,Pão Integral,3,credito
295,25-02-2024 10:20:00,Bolo de Chocolate,4,pix
296,17-06-2024 12:17:00,Pão Francês,2,debito
297,09-06-2024 08:35:00,Suco,1,debito
298,16-04-2024 11:49:00,Salgado,2,credito
299,18-04-2024 11:02:00,Torta de Frango,1,debito
300,18-05-2024 16:13:00,Rosquinha,5,debito
301,10-04-2024 11:10:00,Suco,4,credito
302,14-05-2024 16:46:00,Café Espresso 50 ml,4,credito
303,29-04-2024 15:56:00,Croissant,1,debito
304,12-01-2024 08:26:00,Baguete,4,credito
305,30-03-2024 13:36:00,Baguete,1,credito
306,26-05-2024 09:28:00,Bolo Mole,1,pix
307,11-05-2024 08:19:00,Café Pingado 150 ml,4,pix
308,29-04-2024 12:09:00,Salgado,2,pix
309,18-01-2024 12:19:00,Rosquinha,4,credito
310,26-03-2024 09:13:00,Pão Francês,3,credito
311,24-03-2024 12:14:00,Pão Francês,4,debito
312,18-01-2024 12:33:00,Pão na Chapa,3,pix
313,05-03-2024 16:28:00,Pão na Chapa,5,pix
314,11-04-2024 10:12:00,Rosquinha,4,credito
315,07-02-2024 14:30:00,Pão na Chapa,1,debito
316,16-05-2024 09:22:00,Pão Francês,2,pix
317,09-02-2024 12:48:00,Pão Integral,2,credito
318,29-02-2024 13:37:00,Salgado,2,pix
319,16-02-2024 13:50:00,Croissant,1,debito
320,30-03-2024 15:44:00,Suco,2,debito
321,24-03-2024 08:39:00,Bolo Mole,4,debito
322,20-03-2024 12:33:00,Café Filtrado 150 ml,5,pix
323,11-03-2024 13:59:00,Salgado,1,debito
324,06-03-2024 15:52:00,Café Espresso 50 ml,2,debito
325,08-01-2024 09:19:00,Pão de Mel,5,debito
326,16-05-2024 11:32:00,Croissant,3,credito
327,30-01-2024 12:52:00,Café Filtrado 150 ml,4,pix
328,26-02-2024 13:43:00,Pão Francês,5,credito
329,25-03-2024 13:32:00,Café Filtrado 150 ml,5,debito
330,22-05-2024 15:36:00,Baguete,2,credito
331,23-03-2024 10:38:00,Salgado,2,pix
332,30-04-2024 10:37:00,Pão Integral,4,pix
333,09-04-2024 11:46:00,Pão de Mel,1,debito
334,09-06-2024 09:26:00,Café Espresso 50 ml,2,pix
335,06-06-2024 10:15:00,Pão na Chapa,5,credito
336,20-04-2024 14:22:00,Pão de Queijo,1,credito
337,15-05-2024 10:03:00,Torta de Frango,2,credito
338,13-04-2024 11:21:00,Salgado,2,pix
339,02-04-2024 15:55:00,Salgado,4,pix
340,07-03-2024 15:57:00,Salgado,3,credito
341,13-03-2024 13:28:00,Café Espresso 50 ml,5,pix
342,05-05-2024 08:21:00,Baguete,5,credito
343,26-03-2024 08:28:00,Pão de Mel,1,credito
344,03-02-2024 13:44:00,Rosquinha,4,debito
345,28-01-2024 11:56:00,Pão Integral,5,pix
346,19-06-2024 15:25:00,Baguete,1,pix
347,13-02-2024 14:32:00,Bolo de Chocolate,1,debito
348,10-01-2024 12:50:00,Rosquinha,3,debito
349,20-06-2024 09:29:00,Café Pingado 150 ml,5,pix
350,03-02-2024 14:33:00,Bolo de Chocolate,1,credito
351,11-03-2024 10:21:00,Pão Integral,3,debito
352,17-01-2024 12:11:00,Café Pingado 150 ml,5,debito
353,01-03-2024 11:45:00,Pão de Mel,4,pix
354,21-02-2024 10:01:00,Torta de Frango,3,credito
355,10-04-2024 16:38:00,Bolo Mole,5,pix
356,06-05-2024 15:44:00,Pão na Chapa,2,pix
357,06-02-2024 10:15:00,Croissant,1,pix
358,07-02-2024 09:40:00,Café Filtrado 150 ml,5,credito
359,18-05-2024 08:19:00,Torta de Frango,2,debito
360,06-04-2024 10:10:00,Pão de Queijo,2,pix
361,08-06-2024 14:21:00,Pão de Queijo,5,debito
362,23-04-2024 13:12:00,Croissant,3,credito
363,08-02-2024 16:49:00,Salgado,3,credito
364,18-01-2024 16:35:00,Bolo de Chocolate,5,credito
365,26-04-2024 13:19:00,Café Filtrado 150 ml,5,debito
366,19-04-2024 13:20:00,Suco,3,pix
367,06-05-2024 11:43:00,Rosquinha,4,credito
368,10-06-2024 12:44:00,Pão Francês,1,debito
369,02-06-2024 15:06:00,Rosquinha,4,pix
370,24-06-2024 09:19:00,Rosquinha,3,credito
371,13-05-2024 15:35:00,Torta de Frango,4,debito
372,18-06-2024 08:06:00,Rosquinha,4,credito
373,09-05-2024 15:03:00,Café Pingado 150 ml,1,credito
374,10-03-2024 08:01:00,Pão Integral,1,credito
375,01-02-2024 09:31:00,Baguete,1,pix
376,11-01-2024 12:19:00,Baguete,4,debito
377,15-06-2024 13:03:00,Salgado,5,credito
378,23-05-2024 12:43:00,Pão na Chapa,5,pix
379,12-05-2024 11:49:00,Pão na Chapa,2,debito
380,20-02-2024 13:33:00,Bolo de Chocolate,2,debito
381,04-05-2024 16:36:00,Pão na Chapa,3,debito
382,21-05-2024 13:16:00,Torta de Frango,2,debito
383,26-02-2024 12:32:00,Bolo de Chocolate,5,credito
384,10-04-2024 09:45:00,Suco,3,pix
385,05-04-2024 09:16:00,Café Filtrado 150 ml,3,credito
386,30-04-2024 08:17:00,Pão Integral,5,debito
387,05-02-2024 10:50:00,Rosquinha,5,credito
388,18-03-2024 12:33:00,Café Pingado 150 ml,5,debito
389,18-05-2024 16:32:00,Salgado,3,pix
390,24-05-2024 10:37:00,Suco,5,debito
391,09-01-2024 10:02:00,Torta de Frango,1,credito
392,27-05-2024 09:07:00,Torta de Frango,5,debito
393,20-03-2024 10:48:00,Café Filtrado 150 ml,2,pix
394,19-06-2024 16:53:00,Baguete,4,credito
395,30-01-2024 12:30:00,Café Pingado 150 ml,5,debito
396,25-04-2024 11:26:00,Café Filtrado 150 ml,2,credito
397,27-01-2024 11:22:00,Bolo Mole,4,debito
398,05-04-2024 08:47:00,Bolo Mole,1,credito
399,04-06-2024 11:46:00,Pão de Mel,2,debito
400,23-04-2024 13:33:00,Café Espresso 50 ml,4,credito
401,29-03-2024 14:55:00,Torta de Frango,3,debito
402,18-06-2024 10:49:00,Croissant,1,credito
403,20-03-2024 12:47:00,Bolo de Chocolate,3,debito
404,14-02-2024 10:59:00,Torta de Frango,2,pix
405,20-05-2024 09:07:00,Bolo de Chocolate,2,debito
406,21-02-2024 16:05:00,Café Filtrado 150 ml,1,credito
407,16-02-2024 11:29:00,Baguete,3,pix
408,17-01-2024 13:56:00,Café Pingado 150 ml,1,pix
409,02-04-2024 12:20:00,Pão na Chapa,3,pix
410,21-02-2024 14:14:00,Café Pingado 150 ml,2,pix
411,10-05-2024 16:42:00,Café Pingado 150 ml,1,credito
412,29-02-2024 08:32:00,Pão de Mel,1,credito
413,08-01-2024 15:40:00,Croissant,3,credito
414,27-04-2024 08:42:00,Torta de Frango,2,pix
415,20-06-2024 12:52:00,Café Pingado 150 ml,1,debito
416,12-04-2024 15:25:00,Suco,4,pix
417,04-05-2024 08:37:00,Bolo de Chocolate,3,debito
418,04-06-2024 14:13:00,Suco,5,debito
419,24-01-2024 11:49:00,Torta de Frango,2,pix
420,25-01-2024 14:01:00,Pão na Chapa,1,credito
421,20-02-2024 11:09:00,Baguete,1,pix
422,07-03-2024 14:51:00,Salgado,3,credito
423,03-05-2024 15:24:00,Pão de Mel,2,pix
424,14-02-2024 11:49:00,Bolo Mole,2,credito
425,17-02-2024 15:17:00,Bolo de Chocolate,2,credito
426,09-05-2024 09:50:00,Salgado,3,credito
427,23-02-2024 12:49:00,Pão Francês,3,debito
428,13-05-2024 09:45:00,Café Pingado 150 ml,5,pix
429,24-01-2024 11:12:00,Café Espresso 50 ml,3,debito
430,24-02-2024 13:36:00,Café Pingado 150 ml,2,debito
431,20-01-2024 10:10:00,Pão de Mel,2,pix
432,05-06-2024 12:00:00,Suco,3,pix
433,05-04-2024 15:57:00,Pão Francês,4,debito
434,03-04-2024 16:32:00,Salgado,4,pix
435,13-06-2024 10:09:00,Bolo de Chocolate,2,pix
436,17-02-2024 14:35:00,Café Pingado 150 ml,5,credito
437,30-03-2024 15:16:00,Pão de Queijo,4,pix
438,08-05-2024 15:15:00,Pão de Mel,2,credito
439,30-05-2024 11:27:00,Café Filtrado 150 ml,2,credito
440,14-06-2024 15:19:00,Café Filtrado 150 ml,2,debito
441,24-02-2024 10:56:00,Café Filtrado 150 ml,5,credito
442,05-03-2024 16:00:00,Croissant,4,debito
443,09-03-2024 16:02:00,Bolo Mole,2,pix
444,01-03-2024 10:35:00,Pão de Mel,4,pix
445,11-06-2024 09:56:00,Café Filtrado 150 ml,2,pix
446,22-06-2024 13:08:00,Suco,5,credito
447,21-06-2024 13:36:00,Pão Francês,4,pix
448,10-05-2024 14:22:00,Pão na Chapa,2,credito
449,14-03-2024 13:31:00,Pão de Mel,4,credito
450,05-04-2024 11:28:00,Pão na Chapa,4,credito
451,15-06-2024 09:31:00,Café Pingado 150 ml,3,credito
452,13-02-2024 11:31:00,Pão Francês,1,debito
453,15-06-2024 09:05:00,Torta de Frango,2,debito
454,12-04-2024 14:32:00,Café Filtrado 150 ml,2,pix
455,04-06-2024 08:34:00,Rosquinha,5,credito
456,01-06-2024 14:09:00,Rosquinha,5,debito
457,07-04-2024 11:11:00,Pão Francês,2,credito
458,18-04-2024 10:48:00,Croissant,5,debito
459,14-01-2024 13:13:00,Pão Integral,1,pix
460,05-03-2024 08:21:00,Pão de Queijo,2,pix
461,07-03-2024 16:59:00,Pão de Mel,5,credito
462,26-04-2024 16:31:00,Baguete,3,debito
463,18-03-2024 14:38:00,Rosquinha,1,debito
464,13-01-2024 15:13:00,Salgado,3,credito
465,22-04-2024 13:31:00,Bolo de Chocolate,3,credito
466,29-03-2024 12:34:00,Pão Integral,3,credito
467,24-04-2024 10:55:00,Pão Francês,2,credito
468,24-02-2024 09:49:00,Bolo de Chocolate,1,debito
469,19-02-2024 14:55:00,Baguete,3,debito
470,21-05-2024 08:46:00,Salgado,1,credito
471,19-02-2024 12:06:00,Suco,1,pix
472,01-06-2024 14:28:00,Croissant,2,pix
473,07-05-2024 11:52:00,Torta de Frango,4,credito
474,11-03-2024 15:57:00,Croissant,5,pix
475,13-06-2024 12:37:00,Pão de Mel,5,debito
476,12-04-2024 14:52:00,Suco,3,pix
477,18-05-2024 10:14:00,Café Filtrado 150 ml,2,credito
478,06-04-2024 12:07:00,Pão de Queijo,1,credito
479,30-01-2024 14:24:00,Baguete,4,credito
480,28-03-2024 12:02:00,Bolo de Chocolate,5,credito
481,12-05-2024 14:44:00,Pão Francês,4,debito
482,15-02-2024 14:51:00,Café Pingado 150 ml,4,credito
483,01-05-2024 09:21:00,Salgado,1,pix
484,20-05-2024 13:09:00,Rosquinha,1,debito
485,02-04-2024 10:02:00,Café Pingado 150 ml,4,debito
486,17-01-2024 08:39:00,Café Pingado 150 ml,5,pix
487,31-05-2024 15:24:00,Pão Integral,1,debito
488,14-02-2024 09:43:00,Torta de Frango,3,credito
489,21-01-2024 08:43:00,Croissant,5,credito
490,14-04-2024 08:59:00,Bolo de Chocolate,3,debito
491,28-05-2024 09:10:00,Bolo de Chocolate,3,debito
492,26-05-2024 16:52:00,Baguete,4,credito
493,11-02-2024 13:30:00,Torta de Frango,4,pix
494,12-05-2024 09:57:00,Pão de Queijo,4,credito
495,26-02-2024 14:54:00,Pão Integral,3,credito
496,15-02-2024 16:01:00,Pão Francês,3,credito
497,18-03-2024 13:45:00,Café Pingado 150 ml,2,pix
